week_date,danceability,energy,valence,acousticness,tempo,loudness,speechiness,instrumentalness,liveness,key,mode,neg,neu,pos,compound,num_songs_on_chart,spotify_track_explicit,Peak Position,Weeks on Chart,year,month,day_of_year,week_of_year,quarter,is_holiday_season,DATE,USREC,UNRATE,GDP,CPIAUCSL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,dominant_topic,second_topic,dominant_topic_prob,second_topic_prob,dominant_topic_label,second_topic_label
1974-01-31,0.5838809052604699,0.5803114466292134,0.6836908516343208,0.3629754526302349,119.81551599208376,-10.607880969101124,0.0495873212461695,0.0547971110188967,0.1980947331460673,4.859199438202247,0.7943692543411645,0.0566980198019801,0.7958688118811881,0.1474752475247524,0.533549504950495,101.0,0.0,44.17821782178218,7.774752475247524,1974.0,1.0,15.5,2.5,1.0,0.0,1974-01-01,1,5.1,1491.209,46.8,0.04978332125,0.023604502,0.0361646425,0.02030573225,0.020626277749999998,0.013277427500000001,0.04720545625,0.01599363925,0.007089262475,0.02029451275,0.02572283675,0.02596493025,0.025762484750000002,0.0459767995,0.085880755,0.01801877575,0.0230110665,0.038183403,0.06542614225,0.03046099175,0.07073882375,0.0576791315,0.02034421925,0.01691677,0.06149153425,0.02328709025,0.01587022875,0.033981080500000004,0.01619463425,0.04474356875,14,20,0.085880755,0.07073882375,,
1974-02-28,0.5650817256871036,0.567692521141649,0.6829497489429175,0.3812331728990485,122.38722832980972,-10.648234738372093,0.0614040763742071,0.0485364635306553,0.2008181157505285,5.12718023255814,0.803580866807611,0.0533893316831682,0.7984074999999999,0.1482206435643564,0.5552866683168317,100.25,0.0,44.70698019801981,7.45569306930693,1974.0,2.0,43.5,6.5,1.0,0.0,1974-02-01,1,5.2,1491.209,47.3,0.04733608525,0.03175312425,0.03123954525,0.0221808095,0.019488730500000002,0.01411574925,0.053859292749999996,0.01872631625,0.01507554625,0.0237339585,0.03225797,0.02818936775,0.020424457,0.04529695275,0.07189622,0.01658430925,0.02107162875,0.0326655945,0.057695464,0.027077069000000002,0.0811942225,0.061948342499999996,0.020573932750000003,0.0206532735,0.051136823250000005,0.02021113175,0.0150632305,0.02993527225,0.0191422655,0.0494733365,20,14,0.0811942225,0.07189622,,
1974-03-31,0.5594809694067902,0.5754767597313767,0.6505284368859595,0.3700872211696306,120.28604477614726,-10.281865899141897,0.0587237944285536,0.0511672638372092,0.2170484401193881,5.267612859097127,0.8022832980972515,0.047804,0.8023939999999999,0.1497839999999999,0.6624448000000001,100.0,0.0,46.528,7.0120000000000005,1974.0,3.0,75.0,11.0,1.0,0.0,1974-03-01,1,5.1,1491.209,47.8,0.0509527174,0.0332962558,0.0254379252,0.022624993599999997,0.021178307,0.0176624962,0.047911802999999996,0.0203528294,0.015226428,0.0203246114,0.0392205378,0.0346673826,0.0184746878,0.049165181,0.0817735852,0.0181509752,0.021856195000000002,0.0342983234,0.054748433,0.0217833206,0.0740789996,0.060289771199999995,0.0225857978,0.01975542,0.062313423199999995,0.018679431200000002,0.013564615399999999,0.026945494000000004,0.010655177540000001,0.0420249096,14,20,0.0817735852,0.0740789996,,
1974-04-30,0.5788182810411376,0.5850023013442347,0.655964520579567,0.3480315907140306,117.94478076768738,-10.270499006855385,0.0580086253603503,0.0627575712712116,0.214363518107442,5.649467593959534,0.7867745346983256,0.0543649999999999,0.7910175,0.154585,0.64415625,100.0,0.0,45.09,7.3825,1974.0,4.0,106.5,15.5,2.0,0.0,1974-04-01,1,5.1,1530.056,48.1,0.04344557975,0.0306802875,0.02328172275,0.024749125,0.020901212750000002,0.01842585375,0.04203980525,0.01745671475,0.014912623625,0.017707958,0.0393168285,0.0362616365,0.01641563075,0.04193711775,0.08385805025,0.014790115,0.02396499025,0.03647455025,0.05613278175,0.022085962,0.08310261499999999,0.0762133075,0.01929849075,0.019338059,0.06211343675,0.016086905749999998,0.017034964,0.03007050175,0.0093646525,0.04253856425,14,20,0.08385805025,0.08310261499999999,,
1974-05-31,0.5992755382364627,0.5992413051331141,0.6900048735084108,0.3308307251189056,118.59846868926778,-10.369180435947452,0.055955136395381,0.0707198331572324,0.2197279973569819,5.310651543064938,0.76065304820046,0.0575549999999999,0.7874825000000001,0.1549475,0.55658175,100.0,0.0,44.8375,7.24,1974.0,5.0,134.5,19.5,2.0,0.0,1974-05-01,1,5.1,1530.056,48.6,0.03521951,0.028354791,0.026738987999999998,0.03388776075,0.023332495,0.01634036325,0.04950885275,0.016560632,0.0185967695,0.018841999999999998,0.03214322075,0.03640926675,0.02135527725,0.04427861425,0.07784469125,0.014699519375000001,0.033068826499999995,0.03157081175,0.0618482875,0.02411446175,0.08104646,0.07652221475,0.0185480155,0.01496456625,0.04767969725,0.016569545999999997,0.01751944625,0.0274240625,0.0081781901,0.04683272775,20,14,0.08104646,0.07784469125,,
1974-06-30,0.6138816546272319,0.6022351517423107,0.6934048793784926,0.3377626853823088,118.85547800190814,-10.472716851801373,0.0628227738403525,0.0564818527259097,0.2224938994139293,5.2675855254191095,0.7539968652037617,0.062046,0.80913,0.1288159999999999,0.4309834,100.0,0.0,45.952,6.936,1974.0,6.0,166.0,24.0,2.0,0.0,1974-06-01,1,5.4,1530.056,49.0,0.030139515,0.030482000399999997,0.031858344,0.0316327584,0.0200353054,0.0139958056,0.0598343306,0.0224750428,0.0222623972,0.0189267132,0.0494932322,0.0343277012,0.0248146088,0.0337352214,0.0681902444,0.0150074978,0.0315763032,0.0321735408,0.0593055444,0.0278687032,0.0657820756,0.07578079280000001,0.0203434076,0.0237975002,0.0425454496,0.020378348600000002,0.013790633,0.030786319,0.0096386196,0.039022122799999996,21,14,0.07578079280000001,0.0681902444,,
1974-07-31,0.6120139034576534,0.6127635683760684,0.7077243478743478,0.3272543042110666,119.03339975579976,-10.479739171939173,0.0630647315184814,0.0539343741251803,0.2136963838245087,5.446267621267621,0.726964701964702,0.0606424999999999,0.81559,0.1238325,0.43978025,100.0,0.0,42.635,7.21,1974.0,7.0,197.5,28.5,3.0,0.0,1974-07-01,1,5.5,1560.026,49.3,0.030246066999999998,0.0272066325,0.03048576825,0.03412638375,0.01915712775,0.01025374875,0.04851831525,0.0247260245,0.03367896775,0.02200920225,0.04393264675,0.032753525,0.034070635,0.03300760675,0.07353067125,0.0127880665,0.03179731775,0.030952455,0.0601413,0.022192704,0.055094508,0.0732546035,0.02838528475,0.021565023,0.051781291,0.02877486525,0.01261484525,0.023181493,0.0107192835,0.039053701,14,21,0.07353067125,0.0732546035,,
1974-08-31,0.5880245049345059,0.6201814342796197,0.7065927644789765,0.3403644564469475,117.85007388821268,-10.177783880217516,0.0634411648244641,0.050553517704432,0.2019584674051408,5.354705131385593,0.7448092978479073,0.057092,0.80367,0.1393019999999999,0.5149132,100.0,0.0,38.142,8.048,1974.0,8.0,229.0,33.0,3.0,0.0,1974-08-01,1,5.5,1560.026,49.9,0.030325473000000002,0.0263888854,0.0326181638,0.0391407818,0.0167491215,0.012979207500000001,0.044236571200000005,0.025677047400000003,0.0332095652,0.0249977544,0.0423801882,0.0365532312,0.0311776972,0.0329614138,0.07542290780000001,0.0155153572,0.027827091199999997,0.0332491082,0.059695303199999994,0.0228461306,0.0766899964,0.05034136299999999,0.028180537,0.012528155099999999,0.054579387,0.026695450599999997,0.0191039804,0.0174164506,0.0094869508,0.0410267882,20,14,0.0766899964,0.07542290780000001,,
1974-09-30,0.5913734114823032,0.6181534212897196,0.689761913350678,0.3560872813601449,116.65397815859107,-10.243267661019866,0.0584700302469234,0.054439943485295,0.1851434547333641,5.093101599868052,0.7800525929354679,0.06024,0.78604,0.1537575,0.5813855,100.0,0.0,38.44,7.9,1974.0,9.0,260.5,37.5,3.0,0.0,1974-09-01,1,5.9,1560.026,50.6,0.04357517025,0.0210479015,0.0285198115,0.03053965475,0.010553054499999999,0.013425811749999999,0.046173645,0.033536198249999996,0.0228220095,0.0292411705,0.038950714750000004,0.028675555999999998,0.02759287975,0.031189074999999997,0.07153062375,0.0122131785,0.0179132585,0.032325914750000004,0.04279902775,0.02984962775,0.09199123000000001,0.065438128,0.033291749,0.013883865,0.05378439475,0.0224751565,0.0287764015,0.02397814525,0.0143405015,0.039566188249999995,20,14,0.09199123000000001,0.07153062375,,
1974-10-31,0.583670054109845,0.6009225113056509,0.668350053393872,0.3763925169458214,115.25722540478615,-10.317963763188146,0.0568579336160732,0.037756676751194,0.1793332076816751,5.328576119665441,0.8036886640029484,0.0597725,0.784365,0.1559025,0.5534822500000001,100.0,0.0,43.1675,6.42,1974.0,10.0,288.5,41.5,4.0,0.0,1974-10-01,1,6.0,1599.679,51.0,0.05186075625,0.0219800585,0.025942965000000002,0.01969664,0.010077057,0.011651768,0.04846897375,0.03828609775,0.01838372525,0.02806006175,0.033216525250000004,0.02544875925,0.0286509775,0.0342793015,0.0689205425,0.012625958625,0.028041184,0.030657298,0.0505220845,0.03092970625,0.0837431675,0.07063700475,0.02772549375,0.012551616375,0.04997344675,0.0192208205,0.02987561125,0.0357196825,0.01513421525,0.0377185355,20,21,0.0837431675,0.07063700475,,
