week_date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1958-11-08,0.04770866,0.03120287,0.023653952,0.037694145,0.019941438,0.01722852,0.0682929,0.016097456,0.009669544,0.013176498,0.028840266,0.03243917,0.010974639,0.034203667,0.046506573,0.027341535,0.029295634,0.037444234,0.054367695,0.04733546,0.12986033,0.049484964,0.032257535,0.014326126,0.044489827,0.00947103,0.009457305,0.015799465,0.0077984426,0.053640213
1958-11-15,0.049393676,0.03135662,0.022205941,0.03325789,0.021120615,0.017306434,0.064808734,0.016353063,0.00929378,0.015999034,0.030315595,0.035153016,0.010622118,0.032952357,0.047647253,0.030920459,0.03094413,0.030585965,0.05534477,0.041804045,0.13842148,0.05008543,0.032287378,0.013742199,0.039835785,0.009787478,0.011438848,0.016041871,0.007485182,0.053488936
1958-11-22,0.047766984,0.0190148,0.031843264,0.0279529,0.021418449,0.019274404,0.08092666,0.018243562,0.0057251933,0.017333737,0.030804979,0.035319135,0.012777066,0.031340092,0.039891504,0.028523339,0.03043659,0.03398906,0.059789393,0.03757212,0.13820338,0.051790036,0.037148237,0.0030269972,0.041737303,0.011526292,0.012294987,0.015857337,0.008633703,0.04983856
1958-11-29,0.042854957,0.018983072,0.033577465,0.026163174,0.019081116,0.022082366,0.075220354,0.01898437,0.007128099,0.017829604,0.03155868,0.033078156,0.013491059,0.030414037,0.04238677,0.02640137,0.029692845,0.034984678,0.058339365,0.04007659,0.14109606,0.050976824,0.040518023,0.0045056315,0.0389685,0.011853502,0.012362866,0.017405203,0.011130429,0.04885492
1958-12-06,0.036517892,0.018038025,0.028097399,0.021708053,0.021495184,0.01483685,0.07972223,0.015520004,0.0074653407,0.015347318,0.03637069,0.035815768,0.015703715,0.030677112,0.03749088,0.026399545,0.030415174,0.035951912,0.05562999,0.04491313,0.140838,0.05321778,0.0373219,0.020096403,0.041744582,0.014443739,0.012638898,0.016479293,0.010061866,0.045041423
1958-12-13,0.03842658,0.019543417,0.02813418,0.03470448,0.027274143,0.02046448,0.07716574,0.018331507,0.00550845,0.016866207,0.036828857,0.036089342,0.0152203515,0.029665248,0.028326634,0.026155114,0.027554234,0.034331948,0.057803497,0.043095373,0.13551036,0.050081804,0.037149142,0.019561486,0.038484912,0.011700263,0.011424766,0.018065335,0.01050003,0.046032205
1958-12-20,0.041636337,0.02397545,0.027511474,0.031592317,0.040291525,0.019336686,0.073545285,0.015125566,0.0072359913,0.01633014,0.051575594,0.043972176,0.014473942,0.031221034,0.02740724,0.022539387,0.028166143,0.030273145,0.05453056,0.04303057,0.121596135,0.05099214,0.030089699,0.017874418,0.038714953,0.0126347765,0.011176455,0.016968532,0.009959535,0.04622289
1958-12-27,0.04018913,0.02734366,0.022745889,0.03005487,0.040384393,0.014729122,0.06445612,0.0149054825,0.007030035,0.014998854,0.048854727,0.046049308,0.015548768,0.025027286,0.029026069,0.02492815,0.02896867,0.02934865,0.05184765,0.04093208,0.120639,0.05035881,0.031128217,0.033203598,0.04420629,0.014329755,0.014893782,0.022145117,0.008910495,0.04281609
1959-01-03,0.041270446,0.023263313,0.02179719,0.032663926,0.031803507,0.017748822,0.069880515,0.013358631,0.0076215365,0.018771721,0.050031703,0.046935484,0.014347523,0.02299301,0.032526657,0.023357354,0.030444868,0.02825527,0.053848732,0.04966533,0.12163872,0.053788368,0.027505966,0.03409889,0.0425702,0.014219306,0.010980962,0.016274385,0.009627727,0.038710013
1959-01-10,0.041050978,0.02004242,0.017439585,0.034204673,0.031323433,0.014695352,0.067416206,0.017170494,0.0073361835,0.019064296,0.049623463,0.048486263,0.018811798,0.023531461,0.029464252,0.022671591,0.03025827,0.027791025,0.045469042,0.05374744,0.12677023,0.05171653,0.030502366,0.03759728,0.045345552,0.013005046,0.012546141,0.016983954,0.009945337,0.035989434
